Nome,Categoria,Preco,Estoque
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
Camiseta,Clothing,29.99,150
Calca,Clothing,49.99,100
Tenis,Shoes,89.99,75
Relogio,Accessories,199.99,50
Mochila,Bags,59.99,30
Fone de Ouvido,Accessories,129.99,200
Jaqueta,Clothing,99.99,80
Bicicleta,Sports,499.99,20
Cadeira,Office,249.99,10
Mesa,Office,399.99,5
